Alewife, red, Davis, red, subway, 3
Davis, red, Porter, red, subway, 2
Porter, red, Harvard, red, subway, 3
Harvard, red, Central, red, subway, 3
Central, red, Kendall/MIT, red, subway, 2
Kendall/MIT, red, Charles/MGH, red, subway, 2
Charles/MGH, red, Park, red, subway, 3
Park, red, Downtown Crossing, red, subway, 1
Downtown Crossing, red, South Station, red, subway, 2
South Station, red, Broadway, red, subway, 2
Broadway, red, Andrew, red, subway, 2
Andrew, red, JFK/UMass, red, subway, 3
JFK/UMass, red, Savian Hill, red, subway, 3
JFK/UMass, red, North Quincy, red, subway, 8
Savian Hill, red, Fields Corner, red, subway, 3
Fields Corner, red, Shawmut, red, subway, 2
Shawmut, red, Ashmont, red, subway, 2
Ashmont, red, Cedar Grove, red, subway, 1
Cedar Grove, red, Butler, red, subway, 2
Butler, red, Milton, red, subway, 1
Milton, red, Central Ave, red, subway, 1
Central Ave, red, Valley Rd, red, subway, 1
Valley Rd, red, Capen St, red, subway, 1
Capen St, red, Mattapan, red, subway, 1
North Quincy, red, Wollaston, red, subway, 3
Wollaston, red, Quincy Center, red, subway, 3
Quincy Center, red, Quincy Adams, red, subway, 4
Quincy Adams, red, Braintree, red, subway, 4
Oak Grove, orange, Malden Center, orange, subway, 2
Malden Center, orange, Wellington, orange, subway, 3
Wellington, orange, Sullivan Square, orange , subway, 3
Sullivan Square, orange, Community College, orange, subway, 2
Community College, orange, North Station, orange, subway, 1
North Station, orange, Haymarket, orange, subway, 1
Haymarket, orange, State, orange, subway, 1
State, orange, Downtown Crossing, orange, subway, 1
Downtown Crossing, orange, China Town, orange, subway, 2
China Town, orange, Tufts Medical Center, orange, subway, 1
Tufts Medical Center, orange, Back Bay, orange, subway, 2
Back Bay, orange, Massachusetts Ave, orange, subway, 2
Massachusetts Ave, orange, Ruggles, orange, subway, 2
Ruggles, orange, Roxbury Crossing, orange, subway, 1
Roxbury Crossing, orange, Jackson Square, orange, subway, 2
Jackson Square, orange, Stony Brook, orange, subway, 2
Stony Brook, orange, Green St, orange, subway, 2
Green St, orange, Forest Hills, orange, subway, 2
Bowdoin, blue, Government Center, blue, subway, 3
Government Center, blue, State, blue, subway, 1
State, blue, Aquarium, blue, subway, 2
Aquarium, blue, Maverick, blue, subway, 2
Maverick, blue, Airport, blue, subway, 2
Airport, blue, Wood Island, blue, subway, 2
Wood Island, blue, Orient Heights, blue, subway, 2
Orient Heights, blue, Suffolk Downs, blue, subway, 2
Suffolk Downs, blue, Beachmont, blue, subway, 2
Beachmont, blue, Revere Beach, blue, subway, 2
Revere Beach, blue, Wonderland, blue, subway, 1
Lechmere, green, Science Park, green, subway, 3
Science Park, green, North Station, green, subway, 2
North Station, green, Haymarket, green, subway, 1
Haymarket, green, Government Center, green, subway, 2
Government Center, green, Park, green, subway, 2
Park, green, Boylston, green, subway, 2
Boylston, green, Arlington, green, subway, 1
Arlington, green, Copley, green, subway, 1
Copley, green, Prudential, green, subway, 2
Prudential, green, Symphony, green, subway, 2
Symphony, green, Northeastern, green, subway, 2
Northeastern, green, Museum of Fine Arts, green, subway, 3
Museum of Fine Arts, green, Longwood Medical, green, subway, 1
Longwood Medical, green, Brigham Circle, green, subway, 2
Brigham Circle, green, Fenwood Rd, green, subway, 1
Fenwood Rd, green, Mission Park, green, subway, 1
Mission Park, green, Riverway, green, subway, 1
Riverway, green, Back of the Hill, green, subway, 1
Back of the Hill, green, Heath Street, green, subway, 2
Copley, green, Hynes, green, subway, 3
Hynes, green, Kenmore, green, subway, 3
Kenmore, green, Blanford St, green, subway, 5
Blanford St, green, BU East, green, subway, 1
BU East, green, BU Central, green, subway, 1
BU Central, green, BU West, green, subway, 3
BU West, green, St. Paul St B, green, subway, 1
St. Paul St B, green, Pleasant St, green, subway, 1
Pleasant St, green, Babcock St, green, subway, 2
Babcock St, green, Packard’s Corner, green, subway, 1
Packard’s Corner, green, Harvard Ave, green, subway, 2
Harvard Ave, green, Griggs St, green, subway, 2
Griggs St, green, Allston St, green, subway, 1
Allston St, green, Warren St, green, subway, 1
Warren St, green, Washington St, green, subway, 2
Washington St, green, Sutherland St, green, subway, 1
Sutherland St, green, Chiswick Rd, green, subway, 2
Chiswick Rd, green, Chestnut Hill Ave, green, subway, 1
Chestnut Hill Ave, green, South St, green, subway, 1
South St, green, Boston College, green, subway, 2
Kenmore, green, St. Mary’s St, green, subway, 3
St. Mary’s St, green, Hawes St, green, subway, 2
Hawes St, green, Kent St, green, subway, 1
Kent St, green, St. Paul St C, green, subway, 1
St. Paul St C, green, Coolidge Corner, green, subway, 2
Coolidge Corner, green, Summit Ave, green, subway, 2
Summit Ave, green, Brandon Hall, green, subway, 1
Brandon Hall, green, Fairbanks, green, subway, 1
Fairbanks, green, Washington Square, green, subway, 2
Washington Square, green, Tappan St, green, subway, 1
Tappan St, green, Dean Rd, green, subway, 1
Dean Rd, green, Englewood Ave, green, subway, 2
Englewood Ave, green, Cleveland Circle, green, subway, 1
Kenmore, green, Fenway, green, subway, 6
Fenway, green, Longwood, green, subway, 1
Longwood, green, Brookline Village, green, subway, 2
Brookline Village, green, Brookline Hills, green, subway, 1
Brookline Hills, green, Beaconsfield, green, subway, 2
Beaconsfield,  green, Reservoir, green, subway, 2
Reservoir, green, Chestnut Hill, green, subway, 2
Chestnut Hill, green, Newton Centre, green, subway, 3
Newton Centre, green, Newton Highlands, green, subway, 1
Newton Highlands, green, Eliot, green, subway, 1
Eliot, green, Waban, green, subway, 4
Waban, green, Woodland, green, subway, 3
Woodland, green, Riverside, green, subway, 2
Park, green, Park, red, foot, 0
Downtown Crossing, red, Downtown Crossing, orange, foot, 0
State, blue, State, orange, foot, 0
Government Center, blue, Government Center, green, foot, 0
North Station, orange, North Station, green, foot, 0
Haymarket, orange, Haymarket, green, foot, 0
